VENDOR,30d Pos %,30d Neu %,30d Neg %,30d Count,90d Pos %,90d Neu %,90d Neg %,90d Count,365d Pos %,365d Neu %,365d Neg %,365d Count,Li Pos %,Li Neu %,Li Neg %,Li Count,TOTAL PRODUCT
,,,,,,,,,,,,,,,,,
SanDisk Ultra MicroSDHC 16GB UHS-I Class 10 Memory Card (SDSQUNB-016G-GN3MN),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ajay trading company,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,2
Rainbow Pipe &amp; Products,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,43
SPORCH,0,0,100,1,40,0,60,5,40,0,60,5,40,0,60,5,70
Phone Wala,77,10,13,177,76,8,16,982,75,8,17,1587,75,8,17,1587,27
bharat telecom,-,-,-,0,50,0,50,4,37,16,47,19,37,16,47,19,80
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Intex IT-PB11K 11000 mAh Power Bank (White),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Sai Online Sales,76,4,21,337,79,5,16,1292,78,6,16,2591,84,5,12,3787,2952
Staunch,94,4,1,178,97,3,0,593,98,2,0,967,98,2,0,967,26
ZealDeal,100,0,0,98,98,1,1,341,88,4,8,2137,85,5,10,4881,178
OM Mobile world,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,11
GIZMO-TECH,100,0,0,4,100,0,0,10,100,0,0,10,100,0,0,10,146
U-Antivirus,100,0,0,2,63,13,25,8,77,6,17,66,77,6,17,66,63
Starcase Enterprises,90,10,0,10,87,10,3,30,89,8,3,63,89,8,3,63,59
style and statement,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,8
R.J.COMPUTERS,100,0,0,2,78,11,11,9,82,6,12,34,80,6,14,64,150
loyalvalue,79,11,11,19,68,11,21,57,71,9,20,152,69,10,21,188,176
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TP-LINK TL-WR841N 300Mbps Wireless N Router,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
APEIRON TECH WORLD,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,4
NTPLtd,100,0,0,415,100,0,0,822,100,0,0,1579,100,0,0,1760,116
NK_ONLINE,94,5,1,86,94,4,1,246,97,3,0,1406,97,3,1,1863,33
R. J. COMPUTERS,0,0,100,1,0,0,100,1,0,0,100,1,0,0,100,1,6
RAJ STATIONERY &amp; XEROX,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,6
alpha shope,92,6,2,145,91,5,3,388,93,5,2,1081,93,5,2,1158,263
ArihantElectricals,50,0,50,2,67,0,33,3,67,0,33,3,67,0,33,3,54
Addocart,88,4,8,50,88,4,9,163,87,5,8,624,86,6,9,1242,1063
topshelfs,100,0,0,6,73,9,18,11,80,7,13,15,80,7,13,15,186
MICRONICS SYSTEMS,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,0,8
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Nikon D3200 24.2 MP Digital SLR Camera (Black) with AF-S 18-55mm VR II Kit Lens, 8GB Memory Card, DSLR Camera Bag,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mumbai Gadgets,82,6,13,141,83,6,11,367,87,5,8,1142,88,5,7,1417,348
DAFFODIL-ELECTRONICS,100,0,0,4,90,10,0,10,95,5,0,63,96,4,0,75,133
